message_id,text,timestamp,time_in_seconds,author_name,author_id
ChwKGkNNV3lfcVMwaFlrREZWa0Jzd0Fkc1M0TnFn,:dotted_line_face:,1728618113769923,11380.138,わんだほーい!☆,UC9t9ZZeRKglTCigt4jAslDw
ChwKGkNOcXZ5SzIwaFlrREZWZzlzd0FkRlQ4ZDRn,1 hour and 20 minutes,1728618131759190,11398.127,わんだほーい!☆,UC9t9ZZeRKglTCigt4jAslDw
ChwKGkNLVDd6TEMwaFlrREZaSVFyUVlkMW5BRW5n,is it ready for deployment?,1728618138126373,11404.524,Ricardo Luçolli,UCQZfrACokc5qBTWykaRlxHA
ChwKGkNMX3ZrckcwaFlrREZTTE1sQWtkbEVFVnpR,AAAAAAAAA,1728618139270887,11405.638,わんだほーい!☆,UC9t9ZZeRKglTCigt4jAslDw
ChwKGkNQYnJ2TFMwaFlrREZZTUNyUVlkZFVVMXBR,if not then I suggest you hurry,1728618146250144,11412.617,Ricardo Luçolli,UCQZfrACokc5qBTWykaRlxHA
ChwKGkNJYTZtc0cwaFlrREZZUWhyUVlkODVrSXl3,"I reccomend playing ""it's pizza time"" from pizza tower on loop",1728618172949321,11439.356,Ricardo Luçolli,UCQZfrACokc5qBTWykaRlxHA
ChwKGkNQdmFvYy0waFlrREZic3FyUVlkc2lFRkhn,godspeeed,1728618202428244,11468.82,Ricardo Luçolli,UCQZfrACokc5qBTWykaRlxHA
ChwKGkNKenN1cy0waFlrREZjVENsQWtkSDVJVWVR,"eh... i have a 50% of the map, 1 enemy a not working game over screen",1728618202841213,11469.193,わんだほーい!☆,UC9t9ZZeRKglTCigt4jAslDw
ChwKGkNMZjdrOUMwaFlrREZjVU5yUVlkamJveDZB,o7,1728618204310080,11470.698,Ricardo Luçolli,UCQZfrACokc5qBTWykaRlxHA
ChwKGkNLRFhtOTIwaFlrREZVUFFsQWtkZHNZejhB,en terminos de juego... no hay juego :D,1728618231690610,11498.073,わんだほーい!☆,UC9t9ZZeRKglTCigt4jAslDw
ChwKGkNOLVBrdkcwaFlrREZZUWhyUVlkODVrSXl3,you can rush and hope to finish it in time,1728618273476757,11539.888,Ricardo Luçolli,UCQZfrACokc5qBTWykaRlxHA
ChwKGkNPN1RnUC0waFlrREZaSVFyUVlkMW5BRW5n,or just accept the L and wallow in despair,1728618302551352,11568.948,Ricardo Luçolli,UCQZfrACokc5qBTWykaRlxHA
ChwKGkNJNjR0b1cxaFlrREZkSUtyUVlkT21nVDl3,both are going to hurt,1728618316014183,11582.382,Ricardo Luçolli,UCQZfrACokc5qBTWykaRlxHA
ChwKGkNLT0JvdEcxaFlrREZia2NyUVlkdDZVck1n,yes you are coping better,1728618475064066,11741.451,Ricardo Luçolli,UCQZfrACokc5qBTWykaRlxHA
ChwKGkNJLUFuLTYxaFlrREZYclp3Z1FkTnlRTVd3,YES,1728618535833407,11802.247,Ricardo Luçolli,UCQZfrACokc5qBTWykaRlxHA
ChwKGkNLM1ZsdkMxaFlrREZYQXByUVlkWV8wWWFn,CONGRATS,1728618539897688,11806.284,Ricardo Luçolli,UCQZfrACokc5qBTWykaRlxHA
ChwKGkNQajR6SUMyaFlrREZWUER3Z1FkUUdrVFhR,no need,1728618574331794,11840.73,Ricardo Luçolli,UCQZfrACokc5qBTWykaRlxHA
ChwKGkNKYW9vNUMyaFlrREZYc3YxZ0FkVi1BbDJB,sry i lrft to do my hw,1728618607206408,11873.568,Nininja,UCGTKZ4OVNhJhA-GSnDJI1bQ
ChwKGkNJdUZ4cEcyaFlrREZjZzZzd0FkYno0QkJR,"don't ask me, I don't even remember how to do this without neutral :neutral_face:",1728618609872259,11876.241,わんだほーい!☆,UC9t9ZZeRKglTCigt4jAslDw
ChwKGkNMdThvNjIyaFlrREZkdk93Z1FkcTlNblhB,"this is not a challenge, this is a warning",1728618668025676,11934.423,Ricardo Luçolli,UCQZfrACokc5qBTWykaRlxHA
ChwKGkNQUGRqTS0yaFlrREZlbkZGZ2tkSFR3VTFR,no se porque ese muro de netherack que se mueve me recuerda un poco a las burbujas de minecraft pero con arena de almas :duck:,1728618738956744,12005.31,spy.rabbit,UCFoFZXFDiXmReH_EYoDUokA
ChwKGkNLeTItTy0yaFlrREZmSFpGZ2tkUGQwWjJR,digo porque la arena de almas + agua = elevador xd,1728618807829418,12074.177,spy.rabbit,UCFoFZXFDiXmReH_EYoDUokA
ChwKGkNJbnRxdkczaFlrREZXNHlyUVlkelA4MkJB,how would you rate this compared to the other B-sides so far?,1728619079187972,12345.608,Ricardo Luçolli,UCQZfrACokc5qBTWykaRlxHA
ChwKGkNMdnU0SXk0aFlrREZYNHNyUVlkZ2pvb3Fn,it's how long you stay grappled unto one,1728619136695215,12403.1,Ricardo Luçolli,UCQZfrACokc5qBTWykaRlxHA
ChwKGkNKM1pzNS00aFlrREZUN0JsQWtkWndJdVdB,on th last you're supposed to jump when you're at the top of it instead of taking the momentum,1728619175802500,12442.151,わんだほーい!☆,UC9t9ZZeRKglTCigt4jAslDw
ChwKGkNPVDNqS3k0aFlrREZhNEJyUVlkOTQ0bUlB,also :time-alert:,1728619202431011,12468.837,Ricardo Luçolli,UCQZfrACokc5qBTWykaRlxHA
ChwKGkNPRG5oOUM0aFlrREZXNHlyUVlkelA4MkJB,so close... yet so far,1728619277842736,12544.223,Ricardo Luçolli,UCQZfrACokc5qBTWykaRlxHA
ChwKGkNPaVd2ZW00aFlrREZmTGVsQWtkUTdJNEln,:time-alert:,1728619331148020,12597.474,わんだほーい!☆,UC9t9ZZeRKglTCigt4jAslDw
ChwKGkNKelVrZXk0aFlrREZZQTlyUVlkbTVFWXZn,suffering will continue next week,1728619336725196,12603.126,Ricardo Luçolli,UCQZfrACokc5qBTWykaRlxHA
ChwKGkNJWG8wdXk0aFlrREZjVENsQWtkSDVJVWVR,:time-alert:,1728619337802974,12604.159,わんだほーい!☆,UC9t9ZZeRKglTCigt4jAslDw
ChwKGkNKalF4LTI0aFlrREZiY0pMd2dkaERZQTBn,:frowning_face_with_open_mouth:,1728619339712115,12605.997,spy.rabbit,UCFoFZXFDiXmReH_EYoDUokA
ChwKGkNJNi1fdTY0aFlrREZUSEFsQWtkOU5FdDhn,:time-alert:,1728619342701864,12609.051,わんだほーい!☆,UC9t9ZZeRKglTCigt4jAslDw
ChwKGkNON3R6Zkc0aFlrREZmSFpGZ2tkUGQwWjJR,PWOR-,1728619348196325,12614.548,spy.rabbit,UCFoFZXFDiXmReH_EYoDUokA
ChwKGkNOSGx1Zk80aFlrREZkdk1GZ2tkR3JRZ0x3,P´WRO-,1728619352063648,12618.416,spy.rabbit,UCFoFZXFDiXmReH_EYoDUokA
ChwKGkNKUGlsdlc0aFlrREZYWE00d2Nka3BFWlRn,PWRO-*,1728619355683651,12622.03,spy.rabbit,UCFoFZXFDiXmReH_EYoDUokA
ChwKGkNMeVM5SVM1aFlrREZXTXRyUVlkeEd3THpB,do you really have to do this every single time?,1728619388671798,12655.052,Ricardo Luçolli,UCQZfrACokc5qBTWykaRlxHA
ChwKGkNKV2dsNHE1aFlrREZUN0JsQWtkWndJdVdB,mi visual studio crasheo,1728619399731576,12666.083,わんだほーい!☆,UC9t9ZZeRKglTCigt4jAslDw
